Time,Total energy,Position,Velocity
0.000000,1.000000,1.000000,0.000000
1,1.000000,0.9999990,-0.1999999E-2
2,1.000000,0.9999960,-0.3999994E-2
3,1.000000,0.9999910,-0.5999981E-2
4,1.000000,0.9999840,-0.7999956E-2
5,1.000000,0.9999750,-0.9999915E-2
6,1.000000,0.9999640,-0.1199985E-1
7,1.000000,0.9999510,-0.1399977E-1
8,1.000000,0.9999360,-0.1599966E-1
9,1.000000,0.9999190,-0.1799951E-1
10,1.000000,0.9999000,-0.1999933E-1
11,1.000000,0.9998790,-0.2199911E-1
12,1.000000,0.9998560,-0.2399884E-1
13,1.000000,0.9998310,-0.2599853E-1
14,1.000000,0.9998040,-0.2799817E-1
15,1.000000,0.9997750,-0.2999775E-1
16,1.000000,0.9997440,-0.3199726E-1
17,1.000000,0.9997110,-0.3399672E-1
18,1.000000,0.9996760,-0.3599611E-1
19,1.000000,0.9996390,-0.3799542E-1
20,1.000000,0.9996000,-0.3999466E-1
21,1.000000,0.9995590,-0.4199382E-1
22,1.000000,0.9995160,-0.4399289E-1
23,1.000000,0.9994710,-0.4599188E-1
24,1.000000,0.9994241,-0.4799078E-1
25,1.000000,0.9993751,-0.4998958E-1
26,1.000000,0.9993241,-0.5198827E-1
27,1.000000,0.9992711,-0.5398687E-1
28,1.000000,0.9992161,-0.5598536E-1
29,1.000000,0.9991591,-0.5798373E-1
30,1.000000,0.9991001,-0.5998199E-1
31,1.000000,0.9990392,-0.6198013E-1
32,1.000000,0.9989762,-0.6397815E-1
33,1.000000,0.9989112,-0.6597603E-1
34,1.000000,0.9988442,-0.6797379E-1
35,1.000000,0.9987752,-0.6997141E-1
36,1.000000,0.9987043,-0.7196889E-1
37,1.000000,0.9986313,-0.7396622E-1
38,1.000000,0.9985563,-0.7596341E-1
39,1.000000,0.9984794,-0.7796045E-1
40,1.000000,0.9984004,-0.7995733E-1
41,1.000000,0.9983195,-0.8195405E-1
42,1.000000,0.9982365,-0.8395060E-1
43,1.000000,0.9981516,-0.8594699E-1
44,1.000000,0.9980646,-0.8794321E-1
45,1.000000,0.9979757,-0.8993925E-1
46,1.000000,0.9978847,-0.9193511E-1
47,1.000000,0.9977918,-0.9393078E-1
48,1.000000,0.9976969,-0.9592627E-1
49,1.000000,0.9976000,-0.9792157E-1
50,1.000000,0.9975010,-0.9991667E-1
51,1.000000,0.9974001,-0.1019116
52,1.000000,0.9972972,-0.1039063
53,1.000000,0.9971923,-0.1059008
54,1.000000,0.9970854,-0.1078950
55,1.000000,0.9969765,-0.1098891
56,1.000000,0.9968656,-0.1118829
57,1.000000,0.9967528,-0.1138766
58,1.000000,0.9966379,-0.1158699
59,1.000000,0.9965210,-0.1178631
60,1.000000,0.9964022,-0.1198560
61,1.000000,0.9962813,-0.1218487
62,1.000000,0.9961585,-0.1238412
63,1.000000,0.9960336,-0.1258333
64,1.000000,0.9959068,-0.1278253
65,1.000000,0.9957780,-0.1298170
66,1.000000,0.9956472,-0.1318084
67,1.000000,0.9955144,-0.1337996
68,1.000000,0.9953796,-0.1357905
69,1.000000,0.9952428,-0.1377811
70,1.000000,0.9951040,-0.1397714
71,1.000000,0.9949632,-0.1417615
72,1.000000,0.9948205,-0.1437513
73,1.000000,0.9946757,-0.1457408
74,1.000000,0.9945290,-0.1477300
75,1.000000,0.9943803,-0.1497189
76,1.000000,0.9942296,-0.1517075
77,1.000000,0.9940769,-0.1536958
78,1.000000,0.9939222,-0.1556838
79,1.000000,0.9937655,-0.1576715
80,1.000000,0.9936068,-0.1596589
81,1.000000,0.9934462,-0.1616459
82,1.000000,0.9932835,-0.1636326
83,1.000000,0.9931189,-0.1656190
84,1.000000,0.9929523,-0.1676051
85,1.000000,0.9927837,-0.1695909
86,1.000000,0.9926131,-0.1715762
87,1.000000,0.9924405,-0.1735613
88,1.000000,0.9922660,-0.1755460
89,1.000000,0.9920895,-0.1775304
90,1.000000,0.9919109,-0.1795144
91,1.000000,0.9917304,-0.1814980
92,1.000000,0.9915479,-0.1834813
93,1.000000,0.9913635,-0.1854642
94,1.000000,0.9911770,-0.1874467
95,1.000000,0.9909886,-0.1894289
96,1.000000,0.9907981,-0.1914107
97,1.000000,0.9906057,-0.1933921
98,1.000000,0.9904114,-0.1953731
99,1.000000,0.9902150,-0.1973537
100,1.000000,0.9900167,-0.1993340
101,1.000000,0.9898163,-0.2013138
102,1.000000,0.9896140,-0.2032932
103,1.000000,0.9894097,-0.2052723
104,1.000000,0.9892035,-0.2072509
105,1.000000,0.9889952,-0.2092291
106,1.000000,0.9887850,-0.2112068
107,1.000000,0.9885728,-0.2131842
108,1.000000,0.9883587,-0.2151611
109,1.000000,0.9881425,-0.2171376
110,1.000000,0.9879244,-0.2191137
111,1.000000,0.9877043,-0.2210893
112,1.000000,0.9874822,-0.2230645
113,1.000000,0.9872581,-0.2250393
114,1.000000,0.9870321,-0.2270135
115,1.000000,0.9868041,-0.2289874
116,1.000000,0.9865741,-0.2309608
