initM,initL,Matrix Time,Count
20,100,0.6990000E-3,11393
30,100,0.2890000E-3,10885
40,100,0.2630000E-3,10916
50,100,0.2920000E-3,10908
60,100,0.2900000E-3,10847
70,100,0.3090000E-3,10939
80,100,0.3120000E-3,10957
90,100,0.3150000E-3,10923
100,100,0.3210000E-3,10938
200,100,0.3810000E-3,10948
300,100,0.4540000E-3,11089
400,100,0.5100000E-3,11121
500,100,0.5810000E-3,11103
600,100,0.6450000E-3,11269
700,100,0.7140000E-3,11382
800,100,0.7860000E-3,11444
900,100,0.8460000E-3,11472
1000,100,0.9160000E-3,11454
1100,100,0.9540000E-3,11454
1200,100,0.9350000E-3,11454
1300,100,0.9160000E-3,11454
1400,100,0.9200000E-3,11454
1500,100,0.9820000E-3,11454
1600,100,0.9360000E-3,11454
1700,100,0.9580000E-3,11454
1800,100,0.9320000E-3,11454
1900,100,0.9500000E-3,11454
2000,100,0.9480000E-3,11454
2100,100,0.9920000E-3,11454
20,200,0.2730000E-3,10890
30,200,0.2790000E-3,10885
40,200,0.2750000E-3,10916
50,200,0.2800000E-3,10908
60,200,0.2940000E-3,10847
70,200,0.3070000E-3,10939
80,200,0.3120000E-3,10957
90,200,0.3090000E-3,10923
100,200,0.3370000E-3,10938
200,200,0.3910000E-3,10948
300,200,0.4710000E-3,11089
400,200,0.5330000E-3,11121
500,200,0.5960000E-3,11103
600,200,0.6650000E-3,11269
700,200,0.7400000E-3,11382
800,200,0.7980000E-3,11444
900,200,0.8730000E-3,11472
1000,200,0.9360000E-3,11454
1100,200,0.9580000E-3,11454
1200,200,0.9670000E-3,11454
1300,200,0.1265000E-2,11454
1400,200,0.1224000E-2,11454
1500,200,0.1228000E-2,11454
1600,200,0.1245000E-2,11454
1700,200,0.1336000E-2,11454
1800,200,0.1106000E-2,11454
1900,200,0.1086000E-2,11454
2000,200,0.1135000E-2,11454
2100,200,0.1149000E-2,11454
20,300,0.2540000E-3,10890
30,300,0.2750000E-3,10885
40,300,0.2740000E-3,10916
50,300,0.2870000E-3,10908
60,300,0.2990000E-3,10847
70,300,0.3030000E-3,10939
80,300,0.3110000E-3,10957
90,300,0.3200000E-3,10923
100,300,0.3280000E-3,10938
200,300,0.4030000E-3,10948
300,300,0.4700000E-3,11089
400,300,0.5390000E-3,11121
500,300,0.6120000E-3,11103
600,300,0.6850000E-3,11269
700,300,0.7460000E-3,11382
800,300,0.8250000E-3,11444
900,300,0.1070000E-2,11472
1000,300,0.9760000E-3,11454
1100,300,0.1024000E-2,11454
1200,300,0.1003000E-2,11454
