Time step,Max. difference in total energy
1.000000,0.5000000
1.000000,0.5000000
0.1000000,0.4999997E-2
0.1000000E-1,0.5000000E-4
0.1000000E-2,0.5000000E-6
0.1000000E-3,0.5000004E-8
0.1000000E-4,0.8445467E-11
0.1000000E-5,0.2043921E-12
0.1000000E-6,0.4676259E-12
0.1000000E-7,0.6609158E-12
0.1000000E-8,0.6150636E-13
0.1000000E-9,0.1543210E-12
0.1000000E-10,0.1800782E-12
0.1000000E-11,0.1776357E-14
0.1000000E-12,0.000000
0.1000000E-13,0.000000
0.1000000E-14,0.000000
0.1000000E-15,0.000000
0.1000000E-16,0.000000
0.1000000E-17,0.000000
0.1000000E-18,0.000000
0.1000000E-19,0.000000
