initM,initL,Matrix Time,Count
20,100,0.7490000E-3,11275
30,100,0.3070000E-3,10869
40,100,0.2940000E-3,10928
50,100,0.3650000E-3,10943
60,100,0.3530000E-3,10878
70,100,0.3510000E-3,10912
80,100,0.3550000E-3,10938
90,100,0.3720000E-3,10931
100,100,0.3690000E-3,10946
200,100,0.4630000E-3,10998
300,100,0.5220000E-3,11024
400,100,0.6140000E-3,11094
500,100,0.6850000E-3,11081
600,100,0.7490000E-3,11278
700,100,0.8530000E-3,11363
800,100,0.9100000E-3,11403
900,100,0.9820000E-3,11391
1000,100,0.1064000E-2,11449
1100,100,0.1074000E-2,11448
1200,100,0.1298000E-2,11448
1300,100,0.1098000E-2,11448
1400,100,0.1073000E-2,11448
1500,100,0.1057000E-2,11448
1600,100,0.1071000E-2,11448
1700,100,0.1073000E-2,11448
1800,100,0.1073000E-2,11448
1900,100,0.1077000E-2,11448
2000,100,0.1124000E-2,11448
2100,100,0.1085000E-2,11448
20,200,0.3110000E-3,10889
30,200,0.3290000E-3,10869
40,200,0.3340000E-3,10928
50,200,0.3560000E-3,10943
60,200,0.3700000E-3,10878
70,200,0.3550000E-3,10912
80,200,0.3600000E-3,10938
90,200,0.3750000E-3,10931
100,200,0.3720000E-3,10946
200,200,0.4580000E-3,10998
300,200,0.5440000E-3,11024
400,200,0.6280000E-3,11094
500,200,0.7000000E-3,11081
600,200,0.7750000E-3,11278
700,200,0.8570000E-3,11363
800,200,0.9370000E-3,11403
900,200,0.1005000E-2,11391
1000,200,0.1105000E-2,11449
1100,200,0.1082000E-2,11448
1200,200,0.1091000E-2,11448
1300,200,0.1409000E-2,11448
1400,200,0.1374000E-2,11448
1500,200,0.1397000E-2,11448
1600,200,0.1361000E-2,11448
1700,200,0.1420000E-2,11448
1800,200,0.1305000E-2,11448
1900,200,0.1277000E-2,11448
2000,200,0.1288000E-2,11448
2100,200,0.1317000E-2,11448
20,300,0.3130000E-3,10889
30,300,0.3060000E-3,10869
40,300,0.3240000E-3,10928
50,300,0.3400000E-3,10943
60,300,0.3130000E-3,10878
70,300,0.3710000E-3,10912
80,300,0.3510000E-3,10938
90,300,0.3670000E-3,10931
100,300,0.3860000E-3,10946
200,300,0.4670000E-3,10998
300,300,0.5530000E-3,11024
400,300,0.6940000E-3,11094
500,300,0.7020000E-3,11081
600,300,0.9480000E-3,11278
700,300,0.8750000E-3,11363
800,300,0.9540000E-3,11403
900,300,0.1062000E-2,11391
1000,300,0.1192000E-2,11449
1100,300,0.1177000E-2,11448
1200,300,0.1180000E-2,11448
1300,300,0.1180000E-2,11448
