Size of array,Matrix Time
11,0.4050000E-3
12,0.4070000E-3
13,0.4080000E-3
14,0.4090000E-3
15,0.4230000E-3
16,0.4250000E-3
17,0.4260000E-3
18,0.4360000E-3
19,0.4470000E-3
20,0.4560000E-3
21,0.4580000E-3
22,0.4590000E-3
23,0.4690000E-3
24,0.4730000E-3
25,0.4830000E-3
26,0.4930000E-3
27,0.4940000E-3
28,0.4960000E-3
29,0.5060000E-3
30,0.5080000E-3
31,0.5180000E-3
32,0.5200000E-3
33,0.5210000E-3
34,0.5220000E-3
35,0.5320000E-3
36,0.5340000E-3
37,0.5430000E-3
38,0.5450000E-3
39,0.5480000E-3
40,0.5490000E-3
41,0.5510000E-3
42,0.5610000E-3
43,0.5620000E-3
44,0.5640000E-3
45,0.5770000E-3
46,0.5870000E-3
47,0.5890000E-3
48,0.6010000E-3
49,0.6110000E-3
50,0.6230000E-3
51,0.6240000E-3
52,0.6260000E-3
53,0.6280000E-3
54,0.6300000E-3
55,0.6310000E-3
56,0.6430000E-3
57,0.6450000E-3
58,0.6540000E-3
59,0.6680000E-3
60,0.6840000E-3
61,0.6870000E-3
62,0.6900000E-3
63,0.6920000E-3
64,0.6970000E-3
65,0.7000000E-3
66,0.7160000E-3
67,0.7180000E-3
68,0.7190000E-3
69,0.7210000E-3
70,0.7230000E-3
71,0.7240000E-3
72,0.7350000E-3
73,0.7360000E-3
74,0.7370000E-3
75,0.7490000E-3
76,0.7510000E-3
77,0.7520000E-3
78,0.7560000E-3
79,0.7590000E-3
80,0.7750000E-3
81,0.7780000E-3
82,0.7950000E-3
83,0.8110000E-3
84,0.8170000E-3
85,0.8190000E-3
86,0.8390000E-3
87,0.8510000E-3
88,0.8530000E-3
89,0.8550000E-3
90,0.8570000E-3
91,0.8600000E-3
92,0.8750000E-3
93,0.8870000E-3
94,0.8960000E-3
95,0.8980000E-3
96,0.9100000E-3
97,0.9250000E-3
98,0.9280000E-3
99,0.9440000E-3
100,0.9710000E-3
101,0.9740000E-3
102,0.9950000E-3
103,0.1015000E-2
104,0.1033000E-2
105,0.1053000E-2
106,0.1058000E-2
107,0.1078000E-2
108,0.1099000E-2
109,0.1121000E-2
110,0.1140000E-2
111,0.1160000E-2
112,0.1182000E-2
113,0.1205000E-2
114,0.1224000E-2
115,0.1228000E-2
116,0.1250000E-2
117,0.1272000E-2
118,0.1275000E-2
119,0.1297000E-2
120,0.1317000E-2
121,0.1337000E-2
122,0.1359000E-2
123,0.1363000E-2
124,0.1383000E-2
125,0.1388000E-2
126,0.1410000E-2
127,0.1430000E-2
128,0.1434000E-2
129,0.1455000E-2
130,0.1477000E-2
131,0.1481000E-2
132,0.1501000E-2
133,0.1521000E-2
134,0.1541000E-2
135,0.1564000E-2
136,0.1587000E-2
137,0.1611000E-2
138,0.1634000E-2
139,0.1656000E-2
140,0.1680000E-2
141,0.1702000E-2
142,0.1726000E-2
143,0.1748000E-2
144,0.1766000E-2
145,0.1779000E-2
146,0.1791000E-2
147,0.1794000E-2
148,0.1796000E-2
149,0.1798000E-2
150,0.1800000E-2
151,0.1802000E-2
152,0.1804000E-2
153,0.1806000E-2
154,0.1816000E-2
155,0.1819000E-2
156,0.1821000E-2
157,0.1831000E-2
158,0.1842000E-2
159,0.1853000E-2
160,0.1855000E-2
161,0.1873000E-2
162,0.1878000E-2
163,0.1900000E-2
164,0.1904000E-2
